timestamp,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,bid4_price,bid4_qty,bid5_price,bid5_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty,ask4_price,ask4_qty,ask5_price,ask5_qty,spread,midprice,total_buy_qty,total_sell_qty
2026-06-12T06:36:41.824,55951.8,60,55951.6,30,55949.6,30,55937.4,60,55936,30,55957.6,30,55958.6,30,55959,30,55959.2,300,55960,120,5.799999999995634,55954.7,210,510
2026-06-12T06:36:42.940,55952,60,55951.8,30,55949.6,30,55937.4,60,55936,30,55957.6,30,55957.8,30,55959.2,300,55960,120,55960.6,30,5.599999999998545,55954.8,210,510
2026-06-12T06:36:44.061,55951.2,90,55949.6,30,55937.4,60,55936,30,55934.4,30,55958.4,30,55959,30,55960,120,55960.8,300,55961.4,60,7.200000000004366,55954.8,240,540
2026-06-12T06:36:45.173,55952,90,55949.6,30,55937.4,60,55936,30,55933.8,30,55957.6,30,55958.2,30,55959.2,300,55960,120,55960.6,30,5.599999999998545,55954.8,240,510
2026-06-12T06:36:46.283,55952,90,55949.6,30,55937.4,60,55936,30,55933.8,30,55957.6,30,55958.2,30,55959.2,300,55960,120,55960.6,30,5.599999999998545,55954.8,240,510
2026-06-12T06:36:47.405,55952.2,30,55952,30,55949.6,30,55937.4,60,55936,30,55957.6,30,55960,120,55960.4,30,55960.8,300,55961.2,30,5.400000000001455,55954.899999999994,180,510
2026-06-12T06:36:48.622,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55959.4,30,55960,120,55961.8,300,55962,60,5.400000000001455,55954.899999999994,210,540
2026-06-12T06:36:49.741,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55960.8,300,55961.8,30,55962.4,90,5.400000000001455,55954.899999999994,210,570
2026-06-12T06:36:50.851,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55960.8,300,55962.2,30,55962.6,150,5.400000000001455,55954.899999999994,210,630
2026-06-12T06:36:51.961,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55959.4,30,55960,120,55961.8,300,55962,60,5.400000000001455,55954.899999999994,210,540
2026-06-12T06:36:53.081,55952.2,60,55949.6,30,55937.4,60,55936.8,30,55936,30,55957.6,30,55960,120,55963,90,55963.2,30,55964.4,30,5.400000000001455,55954.899999999994,210,300
2026-06-12T06:36:54.194,55952.2,60,55949.6,30,55937.4,60,55936.8,30,55936.2,30,55957.6,30,55960,120,55963.6,30,55965.4,240,55965.6,60,5.400000000001455,55954.899999999994,210,480
2026-06-12T06:36:55.322,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.6,30,55957.6,30,55960,120,55963.2,30,55964.4,300,55965.2,30,5.400000000001455,55954.899999999994,210,510
2026-06-12T06:36:56.438,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55962.4,30,55963.2,300,55965,30,5.400000000001455,55954.899999999994,210,510
2026-06-12T06:36:57.561,55952.2,120,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55962.2,300,55962.8,150,55963.2,90,5.400000000001455,55954.899999999994,270,690
2026-06-12T06:36:58.784,55952.2,120,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55960.6,30,55961.8,300,55962.8,150,5.400000000001455,55954.899999999994,270,630
2026-06-12T06:36:59.886,55952.2,60,55949.6,30,55937.4,60,55936,30,55935.4,30,55957.6,30,55960,120,55960.8,300,55962.2,30,55962.6,150,5.400000000001455,55954.899999999994,210,630
2026-06-12T06:37:00.999,55952.6,90,55952.4,30,55949.6,30,55937.4,60,55936,60,55957.6,30,55960,120,55962.4,30,55964.8,60,55965,30,5.0,55955.1,270,270
2026-06-12T06:37:02.121,55952.8,90,55952.4,30,55949.6,30,55937.4,60,55936.2,30,55957.6,30,55960,120,55963.4,30,55965,30,55965.4,300,4.799999999995634,55955.2,240,510
2026-06-12T06:37:03.246,55953,90,55952.8,30,55949.6,30,55937.8,30,55937.6,60,55957.6,30,55960,120,55964.6,30,55964.8,300,55965,30,4.599999999998545,55955.3,240,510
2026-06-12T06:37:04.360,55953,60,55949.6,30,55937.6,30,55937.4,60,55936.2,30,55957.6,30,55960,120,55963.4,30,55964.8,300,55965,30,4.599999999998545,55955.3,210,510
2026-06-12T06:37:05.682,55953.2,120,55949.6,30,55937.8,30,55937.4,60,55936.6,30,55957.6,30,55960,120,55962.6,30,55964.8,300,55965,30,4.400000000001455,55955.399999999994,270,510
2026-06-12T06:37:06.993,55953.4,30,55953.2,60,55949.6,30,55937.4,60,55936.8,30,55957.6,30,55960,120,55962.6,30,55964.8,300,55965,90,4.19999999999709,55955.5,210,570
2026-06-12T06:37:08.114,55953.6,90,55953.4,30,55949.6,30,55938.4,60,55938.2,30,55957.6,30,55960,120,55964.8,300,55965,60,55965.2,60,4.0,55955.6,240,570
2026-06-12T06:37:09.234,55954,30,55953.8,60,55953.6,30,55949.6,30,55938.6,30,55957.6,30,55960,120,55964,30,55964.8,330,55965,30,3.599999999998545,55955.8,180,540
2026-06-12T06:37:10.348,55954.2,90,55953.6,30,55949.6,30,55938.8,30,55938.4,60,55957.6,30,55960,120,55964.8,300,55965.4,270,55965.6,30,3.400000000001455,55955.899999999994,240,750
2026-06-12T06:37:11.467,55954.4,90,55954.2,30,55949.6,30,55939,30,55938.4,60,55957.6,30,55960,120,55964.8,300,55965.4,300,55966,60,3.1999999999970896,55956.0,240,810
2026-06-12T06:37:12.578,55954.6,30,55954.4,60,55949.6,30,55939.4,60,55939.2,30,55957.6,30,55960,120,55964.8,300,55965.2,30,55965.4,270,3.0,55956.1,210,750
2026-06-12T06:37:13.689,55954.8,30,55954.6,30,55954.4,60,55949.6,30,55940.8,30,55957.6,30,55960,120,55965.2,30,55966.6,30,55967,150,2.7999999999956344,55956.2,180,360
2026-06-12T06:37:14.785,55954.8,30,55954.6,30,55954.4,60,55949.6,30,55940.8,30,55957.6,30,55960,120,55965.2,30,55966.6,30,55967,150,2.7999999999956344,55956.2,180,360
2026-06-12T06:37:15.894,55955,120,55954.8,60,55949.6,30,55942.4,30,55941.6,30,55957.6,30,55960,120,55968,30,55969.4,90,55969.6,30,2.599999999998545,55956.3,270,300
2026-06-12T06:37:17.017,55955.2,120,55955,30,55949.6,30,55941.4,60,55941.2,30,55957.6,30,55960,120,55968,30,55969.4,120,55969.6,30,2.400000000001455,55956.399999999994,270,330
2026-06-12T06:37:18.133,55954.8,30,55954.6,30,55954.4,60,55949.6,30,55940.8,30,55957.6,30,55960,120,55965.2,30,55966.6,30,55967,150,2.7999999999956344,55956.2,180,360
2026-06-12T06:37:19.245,55955.8,90,55955.4,30,55949.6,30,55941.4,60,55940.4,30,55957,300,55957.6,30,55960,120,55968,30,55968.8,30,1.1999999999970896,55956.4,240,510
